"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.3","...","1017.6","2022-01-01 09:02","1013.1","2022-01-01 14:26","18.6","25.3","2022-01-01 14:47","14.6","2022-01-01 03:09","...","63","25","2022-01-01 14:59","1.2","348","7.6","19","2022-01-01 11:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.2","...","1015.3","2022-01-02 08:41","1010.6","2022-01-02 14:44","18.6","25.6","2022-01-02 13:44","13.5","2022-01-02 06:13","...","66","37","2022-01-02 12:47","1.0","113","5.7","355","2022-01-02 14:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.1","...","1014.1","2022-01-03 07:58","1009.7","2022-01-03 14:49","19.2","25.6","2022-01-03 14:56","14.6","2022-01-03 06:13","...","68","34","2022-01-03 13:52","0.9","111","5.4","330","2022-01-03 14:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1010.9","...","1013.2","2022-01-04 09:19","1008.2","2022-01-04 14:39","19.5","26.4","2022-01-04 14:40","14.2","2022-01-04 07:08","...","73","39","2022-01-04 12:10","0.9","116","4.6","297","2022-01-04 15:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.2","...","1010.9","2022-01-05 08:41","1006.9","2022-01-05 14:12","19.7","25.0","2022-01-05 13:54","16.5","2022-01-05 06:43","...","76","51","2022-01-05 13:55","0.8","9","4.1","10","2022-01-05 15:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1009.8","...","1013.1","2022-01-06 20:41","1007.3","2022-01-06 13:46","18.5","23.7","2022-01-06 11:17","15.7","2022-01-06 21:13","...","75","46","2022-01-06 12:40","1.4","131","6.7","349","2022-01-06 13:15","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1012.0","...","1014.2","2022-01-07 09:07","1009.8","2022-01-07 15:24","17.6","21.5","2022-01-07 15:47","15.2","2022-01-07 03:14","...","76","53","2022-01-07 15:48","1.3","4","6.0","343","2022-01-07 13:53","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.2","...","1012.6","2022-01-08 00:23","1007.8","2022-01-08 16:15","18.4","23.8","2022-01-08 14:31","15.2","2022-01-08 06:04","...","70","45","2022-01-08 14:31","1.1","326","4.9","332","2022-01-08 13:18","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.4","...","1010.0","2022-01-09 08:32","1006.2","2022-01-09 14:08","18.5","23.9","2022-01-09 13:56","15.0","2022-01-09 07:13","...","73","48","2022-01-09 13:56","1.0","6","5.4","345","2022-01-09 17:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
